"id","text","date","truthRating","ratingName","author","headline","named_entities_claim","named_entities_article","keywords","source","sourceURL","link","language"
"http://data.gesis.org/claimskg/claim_review/becd1657-d104-5a3e-94de-61f26b8e3f6e","Malia Obama cashed a $1.2 million tax refund check.","Unknown",-1,"OTHER","Unknown","Did Malia Obama Cash a $1.2 Million Check?","Facebook,Fan Fiction,Junk News,Malia Obama,Snopes,fake news,jQuery,t stop","Malia Obama",,"truthorfiction","https://www.truthorfiction.com","https://www.truthorfiction.com/did-malia-obama-cash-a-1-2-million-check/","English"
"http://data.gesis.org/claimskg/claim_review/8a8a0f17-b1ec-5f86-8ad4-4bb0f1dd5cf5","High diver is saved from jumping into a drained pool when he casts a cross-like shadow on the wall.","Unknown",-1,"OTHER","Unknown","High Diver Saved By Cross","Cincinnati Post,Islam,Scripture lesson,University of Cincinnati,mysterious ways,shadow on the wall,sign of the cross,star of David,the Internet,the sign","shadow on the wall","ASP Article","snopes","http://www.snopes.com","https://www.snopes.com/fact-check/high-and-might-y/","English"
"http://data.gesis.org/claimskg/claim_review/c215a999-c7cf-5c9f-bada-bcddfccd9a56","'And the revenue generated by drilling off Virginia’s coast? $40 million over 10 years.'",2012-02-15,2,"MIXTURE","Jim Moran","Moran says drilling off Virginia's coast will net only $40 million for U.S. over 10 years","Alaska,American Petroleum Institute,Atlantic Ocean,Barack Obama,Bob McDonnell,Bureau of Ocean Energy Management,Congressional Budget Office,Energy Information Administration,Gulf of Mexico,Jim Moran,Jim Webb,Mark Warner,Mexico.A,Natural gas,State of the Union address,inflation-adjusted,natural gas,offshore drilling,oil shale","","Energy,State Finances","politifact","http://www.politifact.com","http://www.politifact.com/virginia/statements/2012/mar/23/jim-moran/moran-says-dilling-virginias-coast-will-net-4-mill/","English"
"http://data.gesis.org/claimskg/claim_review/1eff01a2-4c7d-5a9c-928a-1fa9a888ddeb","Health insurance companies pay CEOs $24 million a year",2009-09-15,2,"MIXTURE","Health Care for America Now","Health care advocacy group blasts insurers for CEO pay packages","Aetna,Assurant,Bloomberg News,Cigna,Coventry Health Care,Graef Crystal,Health Care for America Now,Stephen J. Hemsley,UnitedHealth Group,WellPoint,Yahoo! Finance","","Corporations,Health Care","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2009/sep/16/health-care-america-now/health-care-advocacy-group-blasts-insurers-ceo-pay/","English"
"http://data.gesis.org/claimskg/claim_review/0b7ea833-4928-5405-b0e0-12b2b31482b6","Ted Cruz said that veterans should start selling cookies in order to raise funds.","Unknown",1,"FALSE","Unknown","Ted Cruz: Vets Should Sell Cookies for Funding, Like Girl Scouts","David Nelson,James Morrison,John Scalzi,Republican,Ted Cruz,USA Today,fake news,fake news site,fake news web,the Internet","Ted Cruz","ASP Article, Not Necessarily The News","snopes","http://www.snopes.com","https://www.snopes.com/fact-check/cruz-cookies/","English"
"http://data.gesis.org/claimskg/claim_review/a18e6db1-5ab3-5cbd-b913-155ba758039d","Passengers on an airliner diverted to Cuba thought the hijacking was a Candid Camera stunt due to the coincidental presence of the show's host, Allen Funt.","Unknown",2,"MIXTURE","Unknown","Did Airline Passengers Mistake a Hijacking for a ‘Candid Camera’ Stunt?","Allen Funt,Associated Press,CBS,Candid Camera,Cuba,Eastern Airlines,Havana,Havana airport,Varadero,What Do You Say to a Naked Lady,a bad,a man,a word,but not,familiar to millions,fed us,got back,hidden camera,longest day,practical joke","Allen Funt,Candid Camera,Cuba","Broadcast Legends, Radio & TV, Television","snopes","http://www.snopes.com","https://www.snopes.com/fact-check/candid-camera-hijacking/","English"
"http://data.gesis.org/claimskg/claim_review/b46c9e5a-3d3e-5292-aec5-65e9aa4c1f16","Oil money from federal leases 'can only be used to clean up the mess and damages from drilling.'",2009-06-15,2,"MIXTURE","Bill Nelson","Sen. Bill Nelson says offshore drilling won't pay for Florida schools","Alabama,Bill Nelson,D-Fla,Florida Panhandle,Gulf of Mexico,Louisiana,Minerals Management Service,Texas General Land Office,bill.Nelson,filibuster,then you","","Environment","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2009/jun/15/bill-nelson/sen-bill-nelson-says-offshore-drilling-wont-pay-fl/","English"
"http://data.gesis.org/claimskg/claim_review/b1f0ccba-1f2f-5e3f-b2a3-827a4f21dc1d","'The Georgia Lottery Corp. has only once in the past 16 years paid out the agreed upon 35 percent of proceeds to the account which funds the HOPE scholarship.'",2011-03-02,1,"FALSE","Allie McCullen","Luck runs out for student on lottery claim","Georgia Lottery,HOPE scholarship,Mega Millions,PolitiFact,The New York Times,University of Georgia,downtown Atlanta","Georgia Lottery,HOPE scholarship","Education","politifact","http://www.politifact.com","http://www.politifact.com/georgia/statements/2011/apr/27/allie-mccullen/luck-runs-out-student-lottery-claim/","English"
"http://data.gesis.org/claimskg/claim_review/78b5ce3e-a8db-52a2-8c4e-5e1a71d651d3","'When Mitt Romney was governor, Massachusetts lost 40,000 manufacturing jobs, a rate twice the national average.'",2012-06-04,2,"MIXTURE","Barack Obama","Barack Obama ad says manufacturing jobs fared worse in Massachusetts under Romney","Barack Obama,Brookings Institution,Bureau of Labor Statistics,Colorado,Florida,Gary Burtless,Iowa,John McCain,Mitt Romney,Nevada,New Hampshire,North Carolina,Ohio,Pennsylvania,Virginia,argues,economist","Mitt Romney","Economy,History,Jobs,Message Machine 2012,States","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2012/jun/08/barack-obama/barack-obama-ad-says-manufacturing-jobs-fared-wors/","English"
"http://data.gesis.org/claimskg/claim_review/94d6dabd-5c18-5161-9475-9b03942e96c2","One in four girls or women are in period poverty and are unable to afford sanitary products.","Unknown",-1,"OTHER","Unknown",,"","","Home,Economy,Inequality in the UK","fullfact","http://fullfact.org/","https://fullfact.org/health/period-poverty-how-widespread-it/","English"
