TexteA,TextB,TextAPT,TextBPT,TFIDF,Jaccard_Distance,Levenshtein_Distance,NGram-Similarity,EXPECTED,RESULT,Score Keywords
Text Fragments A,Text Fragments B,text fragments ,text fragments b ,1.0,0.9166666666666666,2,0.0,Annotations,E,1.0
Milwaukee County Executive Chris Abele says county buses are no less safe now than a year or two ago,Milwaukee County Executive Chris Abele says county buses are no less safe now than a year or two ago,milwaukee county executive chris abele county buses less safe year two ago ,milwaukee county executive chris abele county buses less safe year two ago ,1.0,1.0,0,1.0,E,E,1.0000000000000002
Milwaukee County executive candidate Chris Abele says opponent Jeff Stone = Scott Walker,Milwaukee County executive candidate Chris Abele says opponent Jeff Stone = Scott Walker,milwaukee county executive candidate chris abele opponent jeff stone scott walker ,milwaukee county executive candidate chris abele opponent jeff stone scott walker ,1.0,1.0,0,0.9090909090909091,E,E,1.0000000000000004
Tom Barrett says gubernatorial rival Scott Walker eliminated economic development office during recession,Tom Barrett says gubernatorial rival Scott Walker eliminated economic development office during recession,tom barrett gubernatorial rival scott walker eliminated economic development office recession ,tom barrett gubernatorial rival scott walker eliminated economic development office recession ,1.0,1.0,0,1.0,E,E,1.0
Recovery.gov shows jobs in Congressional districts that don't exist,Recovery.gov assigns statewide education jobs to one congressional district,recoverygov shows jobs congressional districts dont exist ,recoverygov assigns statewide education jobs one congressional district ,0.25,0.8571428571428571,41,0.0,ST,N,0.7092972666062739
"Rick Scott's budget includes some big tax cuts, but not all for you",Gov. Rick Scott says budget cuts taxes by $2 billion,rick scotts budget includes big tax cuts ,gov rick scott budget cuts taxes 2 billion ,0.28,0.8947368421052632,24,0.0,E*,N,0.7092972666062739
Josh Mandel campaign says Sherrod Brown owns Ohio's horrendous job numbers,Josh Mandel campaign says Sherrod Brown owns Ohio's horrendous job numbers,josh mandel campaign sherrod brown owns ohios horrendous job numbers ,josh mandel campaign sherrod brown owns ohios horrendous job numbers ,1.0,1.0,0,1.1111111111111112,E,E,1.0
U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,us senate candidate barry hinckley incumbent sen sheldon whitehouse voted 525billion tax hike middle class ,us senate candidate barry hinckley incumbent sen sheldon whitehouse voted 525billion tax hike middle class ,1.0,1.0,0,1.0555555555555556,E,E,1.0000000000000002
"House Speaker John Boehner says Obama's economists figure stimulus cost at $278,000 per job","NRCC says stimulus supported by New Jersey Democrats cost $278,000 per job",house speaker john boehner obamas economists figure stimulus cost 278000 per job ,nrcc stimulus supported new jersey democrats cost 278000 per job ,0.3,0.7407407407407407,49,0.0,E*,N,1.0
Milwaukee County executive candidate Jeff Stone says he’s the only candidate who has voted against increasing government pensions,Milwaukee County executive candidate Jeff Stone says he’s the only candidate who has voted against increasing government pensions,milwaukee county executive candidate jeff stone hes candidate voted increasing government pensions ,milwaukee county executive candidate jeff stone hes candidate voted increasing government pensions ,1.0,1.0,0,1.0625,E,E,1.0000000000000002
